model,sigma,L,Gamma,chi,poles,MPO_bond_dimension,MPO_error,E0,E1,gap,ground_variance,excited_variance,normalized_ground_variance,normalized_excited_variance,discarded_weight,convergence_residual,correlation_ratio,ed_E0,ed_E1,ed_gap,ed_correlation_ratio,ed_energy_relative_error,correlation_ratio_absolute_error,runtime,git_commit
nn,,64,1.02,64,,4,,-82.32898941691809,,,6.774498615413904e-7,,9.994742032847968e-11,,,9.4840801878604e-12,0.27237417573667055,,,,,,,238.50703501701355,5b254486579d4041e900f3266df067a8f85edfc4
nn,,16,1.0,64,,4,,-20.40459447365191,-20.306340774004028,0.09825369964788067,1.0031044439529069e-8,7.904361609689659e-9,2.4092963273644567e-11,1.9169176669781935e-11,,4.5145731597528993e-10,0.40080352136022507,-20.40459447475665,-20.306340775217688,0.09825369953896157,0.4007898597107898,5.414178599753538e-11,1.3661649435281475e-5,233.73482012748718,5b254486579d4041e900f3266df067a8f85edfc4
nn,,16,1.0,128,,4,,-20.404594474077484,-20.306340774754677,0.09825369932280736,3.6075675780011807e-9,3.5708467294170987e-9,8.664799930288038e-12,8.659800144762882e-12,,4.5145731597528993e-10,0.400803070044067,-20.404594474756653,-20.30634077521774,0.09825369953891183,0.4007898597107854,3.328508792972289e-11,1.3210333281610254e-5,236.64471793174744,5b254486579d4041e900f3266df067a8f85edfc4
nn,,24,1.0,64,,4,,-30.579576597346307,-30.51410337605298,0.06547322129332755,1.248281478183344e-10,2.3146640160121024e-9,1.3349026362963558e-13,2.4859176262851768e-12,,4.551914400963142e-15,0.39832215176066227,,,,,,,242.8138599395752,5b254486579d4041e900f3266df067a8f85edfc4
nn,,24,1.0,128,,4,,-30.57957659735705,-30.51410337622052,0.06547322113653209,-5.684341886080801e-13,2.3424036044161767e-9,6.078791604259646e-16,2.515709566376097e-12,,3.3306690738754696e-15,0.39832215257753584,,,,,,,271.52666997909546,5b254486579d4041e900f3266df067a8f85edfc4
nn,,32,1.0,64,,4,,-40.760032493847845,-40.710935247988516,0.049097245859329064,3.6679921322502196e-9,1.347052602795884e-8,2.2077980851643267e-12,8.127601398646448e-12,,6.59472476627343e-14,0.39681767226300496,,,,,,,253.24964809417725,5b254486579d4041e900f3266df067a8f85edfc4
nn,,32,1.0,128,,4,,-40.76003249419231,-40.71093524977426,0.04909724441804997,-5.4569682106375694e-12,9.158611646853387e-10,3.2845991844190583e-15,5.525956794084779e-13,,6.8833827526759706e-15,0.39681768595992156,,,,,,,308.21023988723755,5b254486579d4041e900f3266df067a8f85edfc4
nn,,48,1.0,64,,4,,-61.126407805894594,-61.0936799643382,0.032727841556393855,1.0952908269246109e-7,8.280812835437246e-8,2.931377171800068e-11,2.2186070956690284e-11,,9.632517006252783e-12,0.39507886786023444,,,,,,,291.6144151687622,5b254486579d4041e900f3266df067a8f85edfc4
nn,,48,1.0,128,,4,,-61.126407818149445,-61.093679970193264,0.03272784795618122,9.185896487906575e-11,1.4942088455427438e-8,2.4584636878570504e-14,4.003305487488537e-12,,6.607270286451694e-12,0.39507909047773665,,,,,,,537.782418012619,5b254486579d4041e900f3266df067a8f85edfc4
nn,,64,1.0,64,,4,,-81.49551257645955,-81.47096767653582,0.02454489992372544,8.105917004286312e-7,5.383699317462742e-7,1.2204915063821637e-10,8.11101205566306e-11,,8.851364086126523e-12,0.3940925819063672,,,,,,,330.68091011047363,5b254486579d4041e900f3266df067a8f85edfc4
nn,,64,1.0,128,,4,,-81.49551266876574,-81.47096774400939,0.024544924756355613,1.6061676433309913e-9,1.3787939678877592e-9,2.4183740852935295e-13,2.0772732312546165e-13,,2.6584290324649373e-12,0.39409394262012476,,,,,,,1093.362529039383,5b254486579d4041e900f3266df067a8f85edfc4
long_range,1.75,16,1.52,32,16,34,"{""max_absolute"":2.7067237340361316e-13,""max_relative"":4.164404413474493e-13,""rms_relative"":2.384603445333114e-13}",-28.084066460840322,,,3.668499175546458e-7,,4.6512367040881226e-10,,,6.8937078268049845e-12,0.37593264163997386,-28.08406647994049,-26.524412898731754,1.5596535812087353,0.37593269370046867,6.801068782246959e-10,5.2060494803995994e-8,207.16507697105408,5b254486579d4041e900f3266df067a8f85edfc4
long_range,1.75,16,1.54,32,16,34,"{""max_absolute"":2.7067237340361316e-13,""max_relative"":4.164404413474493e-13,""rms_relative"":2.384603445333114e-13}",-28.319898163479145,,,3.4824984140868764e-7,,4.3421773005463543e-10,,,4.094280470212652e-12,0.35636194160880186,-28.31989818147313,-26.740245687901446,1.5796524935716825,0.35636198839819555,6.353830468262929e-10,4.6789393692847625e-8,200.0877809524536,5b254486579d4041e900f3266df067a8f85edfc4
long_range,1.75,16,1.56,32,16,34,"{""max_absolute"":2.7067237340361316e-13,""max_relative"":4.164404413474493e-13,""rms_relative"":2.384603445333114e-13}",-28.559678051582377,,,3.2756474865891505e-7,,4.015970773903911e-10,,,2.8733682100323676e-12,0.3381834616283839,-28.559678068415508,-26.95498241537553,1.604695653039979,0.33818350328063584,5.89401967514088e-10,4.1652251925317074e-8,199.1774320602417,5b254486579d4041e900f3266df067a8f85edfc4
long_range,1.75,16,1.58,32,16,34,"{""max_absolute"":2.7067237340361316e-13,""max_relative"":4.164404413474493e-13,""rms_relative"":2.384603445333114e-13}",-28.803229002854255,,,3.0624016744695837e-7,,3.6913038776653596e-10,,,2.9483082641945657e-12,0.32133796601904824,-28.80322901852365,-27.16871333244034,1.6345156860833079,0.32133800306361693,5.440151478935564e-10,3.704456869035866e-8,204.23815083503723,5b254486579d4041e900f3266df067a8f85edfc4
long_range,1.75,16,1.6,32,16,34,"{""max_absolute"":2.7067237340361316e-13,""max_relative"":4.164404413474493e-13,""rms_relative"":2.384603445333114e-13}",-29.05036287727896,,,2.851149929483654e-7,,3.378445615098727e-10,,,1.794564497004103e-12,0.3057551652277296,-29.05036289181218,-27.381541540273815,1.6688213515383659,0.3057551982856254,5.002767401947044e-10,3.305789580965168e-8,199.00634908676147,5b254486579d4041e900f3266df067a8f85edfc4
long_range,1.75,32,1.52,32,16,34,"{""max_absolute"":6.028910704003465e-11,""max_relative"":3.162632532717331e-10,""rms_relative"":1.6849773279565732e-10}",-56.03695568011186,,,4.141738872931455e-5,,1.3189661425432605e-8,,,1.244001568423414e-10,0.4187023424700008,,,,,,,211.68197393417358,5b254486579d4041e900f3266df067a8f85edfc4
long_range,1.75,32,1.54,32,16,34,"{""max_absolute"":6.028910704003465e-11,""max_relative"":3.162632532717331e-10,""rms_relative"":1.6849773279565732e-10}",-56.50527395453286,,,4.183202781860018e-5,,1.310179946648274e-8,,,1.3517076347113743e-10,0.37940062548960374,,,,,,,216.98143100738525,5b254486579d4041e900f3266df067a8f85edfc4
long_range,1.75,32,1.56,32,16,34,"{""max_absolute"":6.028910704003465e-11,""max_relative"":3.162632532717331e-10,""rms_relative"":1.6849773279565732e-10}",-56.98348299476608,,,4.145257253185264e-5,,1.2765960778524357e-8,,,5.537500458174804e-10,0.34421908418513536,,,,,,,212.96387100219727,5b254486579d4041e900f3266df067a8f85edfc4
long_range,1.75,32,1.58,32,16,34,"{""max_absolute"":6.028910704003465e-11,""max_relative"":3.162632532717331e-10,""rms_relative"":1.6849773279565732e-10}",-57.4710634886117,,,4.1452118693996454e-5,,1.2550131188541853e-8,,,3.912236090641841e-10,0.31314123882609207,,,,,,,208.08186888694763,5b254486579d4041e900f3266df067a8f85edfc4
long_range,1.75,32,1.6,32,16,34,"{""max_absolute"":6.028910704003465e-11,""max_relative"":3.162632532717331e-10,""rms_relative"":1.6849773279565732e-10}",-57.96737089137916,,,4.079113841726212e-5,,1.2139439056381717e-8,,,8.443001853208898e-10,0.28594470074861267,,,,,,,206.78314208984375,5b254486579d4041e900f3266df067a8f85edfc4
long_range,2.0,16,1.38,32,16,34,"{""max_absolute"":1.5942802633617248e-13,""max_relative"":1.5933259852848795e-13,""rms_relative"":8.303178676580583e-14}",-26.07641135031488,,,2.2747769889974734e-7,,3.345362464440479e-10,,,1.0836997965668616e-11,0.4056130319797819,-26.07641136383669,-24.72339032416847,1.3530210396682207,0.4056130911070825,5.18545641163824e-10,5.9127300611194755e-8,199.0610008239746,5b254486579d4041e900f3266df067a8f85edfc4
